日期(年),單位,總發電量_全國,抽蓄水力_全國,火力_全國,火力_燃煤_全國,火力_燃油_全國,火力_燃氣_全國,核能_全國,再生能源_全國,再生能源_慣常水力_全國,再生能源_地熱_全國,再生能源_太陽光電_全國,再生能源_風力_全國,再生能源_生質能_全國,再生能源_廢棄物_全國,總發電量_台電,抽蓄水力_台電,火力_台電,火力_燃煤_台電,火力_燃油_台電,火力_燃氣_台電,核能_台電,再生能源_台電,再生能源_慣常水力_台電,再生能源_地熱_台電,再生能源_太陽光電_台電,再生能源_風力_台電,總發電量_民營電廠,火力_民營電廠,火力_燃煤_民營電廠,火力_燃氣_民營電廠,再生能源_民營電廠,再生能源_慣常水力_民營電廠,再生能源_地熱_民營電廠,再生能源_太陽光電_民營電廠,再生能源_風力_民營電廠,總發電量_自用發電設備,火力_自用發電設備,火力_燃煤_自用發電設備,火力_燃油_自用發電設備,火力_燃氣_自用發電設備,再生能源_自用發電設備,再生能源_慣常水力_自用發電設備,再生能源_地熱_自用發電設備,再生能源_太陽光電_自用發電設備,再生能源_風力_自用發電設備,再生能源_生質能_自用發電設備,再生能源_廢棄物_自用發電設備
2003,百萬度,209072.387105,3860.536136,160110.537864,112335.397741,19413.985291,28361.154832,38891.5746,6209.738505,3034.51643,0,0.461,23.76162,394.253555,2756.7459,142558.661617,3860.536136,96785.725326,61274.28038,14016.266746,21495.1782,38891.5746,3020.825555,3011.01673,0,0,9.808825,28516.067559,28492.567859,22642.358479,5850.20938,23.4997,23.4997,0,0,0,37997.657929,34832.244679,28418.758882,5397.718545,1015.767252,3165.41325,0,0,0.461,13.952795,394.253555,2756.7459
2004,百萬度,218396.631892,3345.689424,168975.889667,115331.464027,17485.681331,36158.744309,39490.065,6584.987801,3209.869181,0,0.584,25.252811,348.523683,3000.758126,140372.570889,3345.689424,94340.105139,61979.082132,11383.421307,20977.6017,39490.065,3196.711326,3183.881422,0,0,12.829904,35404.204049,35378.21629,21099.772892,14278.443398,25.987759,25.987759,0,0,0,42619.856954,39257.568238,32252.609003,6102.260024,902.699211,3362.288716,0,0,0.584,12.422907,348.523683,3000.758126
2005,百萬度,227512.250072,3838.51825,176160.778876,120044.189019,17200.78167,38915.808187,39972.008,7540.944946,4071.373596,0,0.96,91.300426,323.477933,3053.832991,147466.595023,3838.51825,99551.530939,65769.881649,10919.572807,22862.076483,39972.008,4104.537834,4027.543073,0,0,76.994761,37564.4264,37520.595877,21971.547503,15549.048374,43.830523,43.830523,0,0,0,42481.228649,39088.65206,32302.759867,6281.208863,504.68333,3392.576589,0,0,0.96,14.305665,323.477933,3053.832991
2006,百萬度,235530.125508,3910.666721,184005.112584,124048.803465,19846.587052,40109.722067,39870.4978,7743.848403,4088.350767,0,1.457,276.074732,321.292219,3056.673685,156172.649602,3910.666721,108189.145303,68793.988027,14465.002744,24930.154532,39870.4978,4202.339778,4028.148429,0,0,174.191349,37025.991072,36875.636987,22190.823454,14684.813533,150.354085,60.202338,0,0,90.151747,42331.484834,38940.330294,33063.991984,5381.584308,494.754002,3391.15454,0,0,1.457,11.731636,321.292219,3056.673685
2007,百萬度,243116.583951,3932.70126,190319.910767,128462.814509,16823.862699,45033.233559,40539.16,8324.811924,4417.549905,0,2.18,439.534507,302.267458,3163.280054,161152.648897,3932.70126,112082.289267,70657.377679,12198.480954,29226.430634,40539.16,4598.49837,4322.035413,0,0,276.462957,37643.442498,37395.026035,22342.978814,15052.047221,248.416463,95.514492,0,0,152.901971,44320.492556,40842.595465,35462.458016,4625.381745,754.755704,3477.897091,0,0,2.18,10.169579,302.267458,3163.280054
2008,百萬度,238305.365274,3467.1645,185752.281661,122201.790846,15038.686694,48511.804121,40826.8596,8259.059513,4305.105175,0,4.473143,588.265167,272.488611,3088.727417,162044.704469,3467.1645,113317.123961,69218.3003,11446.325787,32652.497874,40826.8596,4433.556408,4160.770365,0,0.096286,272.689757,36930.987497,36480.256784,21361.037957,15119.218827,450.730713,144.33481,0,0,306.395903,39329.673308,35954.900916,31622.452589,3592.360907,740.08742,3374.772392,0,0,4.376857,9.179507,272.488611,3088.727417
2009,百萬度,230037.159302,3305.104383,177351.401046,120667.963622,9402.803989,47280.633435,41571.1288,7809.525073,3748.28819,0,9.112535,786.635449,229.349499,3036.1394,150129.584693,3305.104383,101280.104657,64304.685246,6126.430248,30848.989163,41571.1288,3973.246853,3601.469201,0,0.098128,371.679524,40172.427933,39618.930041,23906.526182,15712.403859,553.497892,146.818989,0,0,406.678903,39735.146676,36452.366348,32456.752194,3276.373741,719.240413,3282.780328,0,0,9.014407,8.277022,229.349499,3036.1394
2010,百萬度,247058.866944,3060.998999,193729.420815,122352.72431,11130.827756,60245.868749,41628.6891,8639.75803,4194.101306,0,21.727004,1026.337795,270.037639,3127.554286,165008.727945,3060.998999,115726.624641,64902.220657,8254.656848,42569.747136,41628.6891,4592.415205,4073.351615,0,3.860211,515.203379,41422.661976,40801.075196,24070.030627,16731.044569,621.58678,120.749691,0,0,500.837089,40627.477023,37201.720978,33380.473026,2876.170908,945.077044,3425.756045,0,0,17.866793,10.297327,270.037639,3127.554286
2011,百萬度,252167.014206,2902.108,198161.354398,124467.954219,9487.809297,64205.590882,42116.4908,8987.061008,3999.726499,0,61.622537,1492.676671,236.091082,3196.944219,170066.874816,2902.108,120353.48123,67896.792575,7307.676672,45149.011983,42116.4908,4694.794786,3883.184434,0,8.643787,802.966565,42280.370382,41480.573862,23225.540483,18255.033379,799.79652,116.542065,0,0,683.254455,39819.769008,36327.299306,33345.621161,2180.132625,801.54552,3492.469702,0,0,52.97875,6.455651,236.091082,3196.944219
2012,百萬度,250373.424784,2936.9005,196352.086787,122436.775859,7623.246376,66292.064552,40421.7298,10662.707697,5669.557962,0,159.869831,1413.468482,242.070117,3177.741305,172749.573371,2936.9005,123128.864109,67500.061161,5659.842872,49968.960076,40421.7298,6262.078962,5512.326012,0,13.207962,736.544988,40059.547978,39233.982837,23680.67685,15553.305987,825.565141,157.23195,0,0,668.333191,37564.303435,33989.239841,31256.037848,1963.403504,769.798489,3575.063594,0,0,146.661869,8.590303,242.070117,3177.741305
